"idno","Admin Agency","email","url","year","approp_title","fund_code","eligibility","bond_sale_date","bond_series_number","amount_of_bond","category","subcategory","county","state_amount","chapter_section","reversion_date","valid_encumbrance_amount","expended_amount","aipp_amount_bof","reversion_amount","appropriation_balance","last_update","icip_project_number","icip_priority_number","local_fiscal_agent","amount_obligated","project_end_date","expended_amount_state","aipp_amount","reauth_of_balance_to_new","reauth_to_project_number","reversion_amount_two","project_status","goal_milestone_last_quarter","goal_milestone_next_quarter","project_phase","current_balance","last_agency_update","last_submission_date","expended_amount_local","current_balance_local","project_status_local","project_phase_local","goal_milestone_last_quarter_local","goal_milestone_next_quarter_local","valid_contracts_in_place","no_activity_for_month","last_submission_date_local","last_update_local"
"13-1821","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1821","2013","PASEO DEL NORTE FIRE STATION LEFT-TURN BAY-BERN CO","SEVERANCE TAX BONDS","","7/23/13","STB13A","275000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","Bernalillo","275000","226 / 36/ 8","6/30/17","0","11355","0","0","263645","5/26/15 0:00","","/","02000 - Bernalillo County","275000","6/30/17","7308","0","0","","0","PO  204095 created
Grant Agreement D14268","Expenditures processed","Additional Expenditures to be processed","0150 - Grant Agreement Issued","267692","5/26/15 0:00","3/16/15 0:00","7308","0","P.O. issued to LEE Engineering. 6/30/14 DMP
Waiting for the revised draft study report to send to NMDOT for review. 11/26/14 DMP","","Project in design, DMP 12/31/2013. Waiting for the revised draft study report to send to NMDOT for review. Pymt request to State on 8/1/14.  Ray C. is reviewing payment.  12/31/14 DMP","We have a consultant under contract doing the traffic analysis to determine if this project can proceed.  05/29/15  DMP","TRUE","FALSE","4/30/15 0:00","5/29/15 0:00"
"13-1364","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1364","2013","SAN ANTONITO ELEM SCHL INFO TECH","SEVERANCE TAX BONDS","","7/23/13","STB13A","36500","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Bernalillo","36500","226 / 18/119","6/30/16","0","36494","0","6","0","5/26/15 0:00","","2013 /","02112 - Albuquerque Public Schools","0","***","36494","0","0","","6","COMPLETE","","","0250 - Project Closed","0","5/26/15 0:00","1/1/80 0:00","36495","5","Expended Amount: 36,494.44 Revert:5.56","","Expended amount:36,494.44","Project Closed","TRUE","FALSE","8/29/14 0:00","8/29/14 0:00"
"13-1168","Aging and Long Term Services Department","mailto:rebeccas.martinez@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1168","2013","MELROSE SENIOR CENTER-MEALS EQUIP","SEVERANCE TAX BONDS","","7/23/13","STB13A","11700","Local","Senior Citizens","Curry","11700","226 /  5/ 8","6/30/16","0","0","0","0","11700","5/26/15 0:00","","/","05003 - Melrose","0","***","0","0","0","","0","Grant agreement fully executed.  Funds will be used to purchase and install meals equipment.","Notice of obligation issued for US Foods Inc for $11,700 on 01/23/2015Grant agreement is fully executed.","Await submission of the reimbursement request","0200 - Purchase in Process","11700","5/26/15 0:00","3/16/15 0:00","0","11700","Grant agreement executed","","","","TRUE","TRUE","1/7/15 0:00","1/7/15 0:00"
"13-1836","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1836","2013","BAYLOR CANYON RD IMPROVE","SEVERANCE TAX BONDS","","7/23/13","STB13A","250000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","Dona Ana","250000","226 / 36/23","6/30/17","0","7015","0","0","242985","5/26/15 0:00","19896","2015 / 009","07000 - Dona Ana County","250000","6/30/17","7015","0","0","","0","PO  190856 created for  111,430.00 created on 6/6/2014
Grant Agreement  D14282","PO created and expenditures processed","Additional expenditures to be processed","0150 - Grant Agreement Issued","242985","5/26/15 0:00","3/26/15 0:00","7015","242985","Period ending May 30, 2013: Submitted STB questionnaire and Capital Outlay form.
Period ending June 30, 2013: Pending grant agreement.
Period ending July 30,2013: Pending grant agreement. DAC was notified that FLAP funding for this project was recommended by the Federal Lands/FHWA. Scoping process will begin in August. These Capital Outlay funds will be used as matching funds for design of Baylor Canyon Road improvements.
Period ending August 30, 2013: Received grant agreement and prepared for acceptance.
Period ending September 30, 2013: Processed grant agreement. Dona Ana County was notified that the project was recommended by the NM Programming Decision Committee for NM Federal Land Access funding. These Capital Outlay funds will be used as non-federal matching funds.  
Period ending October 30, 2013: Grant agreement was fully executed and file set up. Currently working on accepting program agreement from FHWA for the full project. DAC anticipates acceptance of the award and to set up a purchase order to FHWA by the following reporting period. 
Period ending December 30, 2013: DAC has scheduled approval of the FHWA programming agreement during the January 28, 2014 Board of County Commission meeting. This will initially obligate  57,644 towards the preliminary design for Baylor Canyon.
Period ending April 30, 2014: Finalized programmatic agreement with FHWA CFLHD. Preliminary design is in process and working on geotechnical pits and ROW application to BLM.
Period ending May 30, 2014: Preliminary design continues. Contractor for FHWA has been on site to work on the geo technical. 
Period ending June 30, 2014: Preliminary design work in process. Processing 1st reimbursement request. 
Period ending July 30, 2014: Completed field surveying and mapping. Projected early horizontal and vertical roadway alignments. Performed field pavement investigation and testing. Started NEPA process. Began preliminary hydraulics and plan sheet.  
Period ending August 30, 2014: A teleconference project update meeting was held with BLM, FHWA and DAC staff in attendance. Project is on task. Public meeting is scheduled for October to obtain input on 30 percent plan review. 
Period ending January 30, 2015: Project is currently on task. Two public meetings were held. BLM ROW scoping report is in precess. Traffic counts being completed.
Period ending  March 31, 2015
BLM requested a realignment of the tie-in at Baylor Canyon and Dripping Springs Road.  This was done to the Check Dams that were built by the CCC camps in the 1930 s.  BLM felt that if we could do the realignment that they could get a categorical exclusion and move on. 
Period ending April 30, 2015
EA meeting scheduled for May 12, 2015. Public review period open till May 27, 2015","","Preliminary design is in process. Application to update ROW with BLM is in process","Continue preliminary design.","TRUE","FALSE","1/1/80 0:00","5/14/15 0:00"
"13-1300","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1300","2013","DOLORES GONZALES ELEM SCHL IMPROVE","SEVERANCE TAX BONDS","","7/23/13","STB13A","132500","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Bernalillo","132500","226 / 18/ 51","6/30/17","0","132500","0","0","0","5/26/15 0:00","","2013 /","02112 - Albuquerque Public Schools","0","***","132500","0","0","","0","complete","","","0250 - Project Closed","0","5/26/15 0:00","1/1/80 0:00","132500","0","Expended Amount: 132,500","","Expended Amount:$132,500","Project Closed","TRUE","FALSE","8/28/14 0:00","8/28/14 0:00"
"13-1239","General Services Department","mailto:pamela.nicosin@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1239","2013","NMBHI NEW MEADOWS RENOVATE & CONSTRUCT-PH 3 PREP","SEVERANCE TAX BONDS","","7/23/13","STB13A","2100000","State Facility","Health Facilities","San Miguel","2100000","226 /  9/12","6/30/17","0","113336","0","0","1986664","5/26/15 0:00","","/","99350 - General Services Department","150023","6/30/17","9587","0","0","","0","Design in process for demolition 3/16/15 -at","Design in process 40% complete","Complete design, begin process for project construction","0210 - Project in Design","2090413","5/26/15 0:00","3/16/15 0:00","0","0","","","","","","","",""
"13-1732","Department of Finance and Administration","mailto:JoleneM.Slowen@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1732","2013","MCKINLEY CO GALLUP INTERTRIBAL OFFICE EQUIPMENT","SEVERANCE TAX BONDS","","12/30/13","2013S-D","50000","Local","Public Buildings & Equip. (govt offices, rest areas, fair facil., etc.)","McKinley","50000","226 / 31/137","6/30/16","0","0","0","0","50000","5/26/15 0:00","","/","13000 - McKinley County","0","***","0","0","0","","0","02/13/2014 - Pending Fiscal Agent","","","0100 - Appropriated","50000","9/11/14 16:16","9/11/14 16:16","0","0","no activity for this month. 05-30-15","","","","FALSE","FALSE","1/1/80 0:00","5/28/15 0:00"
"13-1835","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1835","2013","WILHITE RD WIDENING PLAN & DESIGN","SEVERANCE TAX BONDS","","7/23/13","STB13A","250000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","Curry","250000","226 / 36/22","6/30/17","0","94968","0","0","155032","5/26/15 0:00","","/","05001 - Clovis","250000","6/30/17","94968","0","0","","0","PO  201360 created for  250,000.00 on 8/18/2014
Grant Agreement  D14150","Notice of obligation submitted expenditures processed","Additional expenditures to be processed","0150 - Grant Agreement Issued","155032","5/26/15 0:00","3/26/15 0:00","151162","98838","Have not received payment for Request No. 2.  No payments to contractor as of 4/30/15","","","","TRUE","TRUE","5/11/15 0:00","5/11/15 0:00"
"10-1145","Aging and Long Term Services Department","mailto:rebeccas.martinez@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=10-1145","2010","ALTS GRANTS SENIOR CTR MEALS EQUIP","GENERAL OBLIGATION BONDS","","4/19/11","GOB11","1000","","","Cibola","1000","10-Mar","6/30/14","0","950","0","50","0","5/26/15 0:00","","/","33001 - Grants","0","***","950","0","0","","50","Project is complete.  Funds were used to purchased meals equipment - steam table 4.11.13","Project is complete.","Project is complete.","0250 - Project Closed","0","5/26/15 0:00","12/16/14 0:00","0","0","A contract is in place.  the Center had already purchased a freezer, so the state has approve puchase of another item  The Center is deciding what item is more needed.  Still waiting for senter to decide what will be purchased.","","","","FALSE","FALSE","1/23/13 0:00","8/20/13 0:00"
"13-1780","Department of Finance and Administration","mailto:JoleneM.Slowen@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1780","2013","SANTA FE WATER HISTORY PARK & MUSEUM PHASE 2","SEVERANCE TAX BONDS","","7/23/13","STB13A","150000","Local","Cultural Facilities (libraries, museums, arts, etc.)","Santa Fe","150000","226 / 31/194","6/30/17","79341","20659","0","0","129341","5/26/15 0:00","","/","01001 - Santa Fe","0","***","18072","0","0","","0","2/7/14 - Reviewed file - No activity since grant execution - SL
  0150-Grant Agreement Issued    10/28/2013","","","0150 - Grant Agreement Issued","131928","12/15/14 16:33","12/15/14 16:33","15485","134515","03/31/2015 - no change
02/28/2015 - no change
01/30/2015 - no change
12/23/2014 - no change
11/30/2014 - no change
10/30/2014 - no change
9/30/14 - Design work 75  complete, Reimbursement request  4 for  2,586.77 being processed
8/29/14 - Design work continues
7/29/14 Design work continues
6/29/14 reimbursement 3 for  3,982.25 submitted   paid.
Design work continues.
5/30/14 - City is in the process of submitting a reimbursement for  3,982.25. dac
4/27/14 - Water History Museum Interior Rehabilitation Plans completed and going before the City s ADA Plan Review Subcommittee on 4/29/14.
3/28/14 - Site inspection and plan review with Architect on 3/27/14.  Building interior construction to start next quarter.
2/28/14 - Final plans from Victor Johnson are under review.  
1/28/14 - no change 
12/30/13 - City is processing payment to Vic Johnson Architect.
11/26/13 - No Change dac
10/30/13 - The Agreement passed City Council on 10/9/13 and was executed by the City on 10/15/13.  Agreement was mailed to DFA for execution on 10/23/13. dac09/24/2013 This Agreement has passed Public Works and Finance Committees.  dac
8/28/2013 - To go before Public Works on 9/9/13  Finance 9/16/13 and City Council 9/25/13. dac","","10/1/14 - 12/31/14 - 50% design work 
7/1/14 - 9/30/14 - complete 75% of design work
4/1/14 - 6/30/14 Start design work
1/1/14 - 3/31/14 Draft an Amendment to current Professional Service Agreement (PSA between Water History Park & Museum and the City. - done
4/1/14 - 6/30/14 - Plans completed","3/31/15 - 6/30/15 - finish design work and start interior construction","TRUE","TRUE","4/30/15 0:00","4/30/15 0:00"
"13-1171","Aging and Long Term Services Department","mailto:rebeccas.martinez@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1171","2013","ENA MITCHELL SENIOR CENTER-MEALS EQUIP","SEVERANCE TAX BONDS","","7/23/13","STB13A","2000","Local","Senior Citizens","Hidalgo","2000","226 /  5/11","6/30/16","0","0","0","0","2000","5/26/15 0:00","","/","23000 - Hidalgo County","0","***","0","0","0","","0","Grant agreementis not  fully executed. Funds will be used to purchase and install a commercial meat slicer.","No progress to report this quarter 03/16/2015.  grant agreement still pending execution","Contact grantee to determine if the grant will proceed or if they want the grant funds to be reverted","0110 - Certified","2000","5/26/15 0:00","3/16/15 0:00","0","0","","","","","","","",""
"13-1248","Department of Cultural Affairs","mailto:chris.romero@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1248","2013","CAD MUSEUMS & MONUMENTS CRITICAL REPAIRS STATEWIDE","SEVERANCE TAX BONDS","","7/23/13","STB13A","3000000","State Facility","Cultural Facilities (libraries, museums, arts, etc.)","Statewide","3000000","226 / 11/4","6/30/17","0","2623080","0","0","376920","5/26/15 0:00","","/","99505 - Department of Cultural Affairs","701046","6/30/17","2240008","0","0","","0","Highest priority projects allocated and in process across DCA with many complete. Completed projects include NHCC HVAC 42.1, NHCC roof 13.4, MNHS HVAC 174.5, Space Wireless for security 97.9, Taylor Store 14.2, Camino doors 15.9, FRHM fence 180.3, MoA library foundation 34.3, Halpin clean-up 8.4, MOIFA storage 54.3, MNHS security 34.2, Exhibits sewer 174.9  Lab of Anthro roof 470.9  Halpin roof 202.2","MoA HVAC repairs to meet $40.0 matching grant  on hold while balance reconciliation takes place.  MoA loading dock upgrades contract executed; History Museum groundwater pump improvements contract is underway.","Final balance reconciliation will be completed, which will allow final repairs to be initiated.","0220 - Project in Construction","759992","5/26/15 0:00","3/16/15 0:00","0","0","","","","","","","",""
"13-1667","Department of Finance and Administration","mailto:JoleneM.Slowen@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1667","2013","HAGERMAN MUNICIPAL BUILDING RENOVATE","SEVERANCE TAX BONDS","","7/23/13","STB13A","193000","Local","Public Buildings & Equip. (govt offices, rest areas, fair facil., etc.)","Chaves","193000","226 / 31/ 65","6/30/17","113894","42987","0","0","150013","5/26/15 0:00","","/","04002 - Hagerman","0","***","0","0","0","","0","25Feb14 grant executed
2.5/14 - Grant agreement sent to grantee.  Pending formal execution of agreement

  0150-Grant Agreement Issued    02/06/2014
  0150-Grant Agreement Issued    02/06/2014
  Grant Agreement Executed       02/25/2014","","","0150 - Grant Agreement Issued","193000","3/18/15 10:05","3/18/15 10:05","0","0","Construction under way","","Design and sign contract with contractor","Construction should be complete by April 26, 2015. Delays in materials have pushed completion date back a few weeks.","TRUE","FALSE","1/1/80 0:00","5/28/15 0:00"
"13-1291","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1291","2013","BELLEHAVEN ELEM SCHL INFO TECH","SEVERANCE TAX BONDS","","7/23/13","STB13A","46000","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Bernalillo","46000","226 / 18/ 40","6/30/16","0","46000","0","0","0","5/26/15 0:00","","/","02112 - Albuquerque Public Schools","0","***","46000","0","0","","0","complete","","","0250 - Project Closed","0","5/26/15 0:00","1/1/80 0:00","46000","0","Expended Amount: 45,993.75.  Revert: 0.27","","Expended $45,993.75 Revert 0.27","Project Closed","TRUE","FALSE","8/28/14 0:00","8/28/14 0:00"
"13-1753","Department of Finance and Administration","mailto:JoleneM.Slowen@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1753","2013","PECOS CANYON FIRE & RESCUE TRUCK SAN MIGUEL CO","SEVERANCE TAX BONDS","","6/24/14","2014A","97500","Local","Vehicles (buses, trucks, heavy equipment, etc.)","San Miguel","97500","226 / 31/161","6/30/16","0","0","0","0","97500","5/26/15 0:00","","/","12000 - San Miguel County","0","***","0","0","0","","0","10/21/14 Grant agreement fully executed
  Grant Agreement Executed       10/21/2014","","","0150 - Grant Agreement Issued","97500","3/18/15 10:05","3/18/15 10:05","0","0","San Miguel County has received grant agreement.","","Bid specifications have been prepared.","Invitation to bid will be issued.","FALSE","TRUE","3/17/15 0:00","3/17/15 0:00"
"13-1431","Office of the State Engineer","mailto:curtis.eckhart@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1431","2013","BELEN FLOOD CONTROL FCLTY & INFRA","SEVERANCE TAX BONDS","","7/23/13","STB13A","425000","Local","Acequias & Dams (rivers, conservation)","Valencia","425000","226 / 21/12","6/30/17","0","0","0","0","425000","5/26/15 0:00","1","2014 / 1","14001 - Belen","0","***","0","0","0","","0","Belen Camino Del Llano Ponds have been bid and Star Paving was awarded the contract.","Plans and specs were approved, bid was accomplished and awarded, and Site Certificate have been established","Pre construction meeting will be held and start date will be established for the 120 days of construction.","0220 - Project in Construction","425000","5/26/15 0:00","3/11/15 0:00","0","425000","Awaiting Land transfer agreements","","Waiting on agreements","to go out to bid","FALSE","TRUE","2/17/14 0:00","2/17/14 0:00"
"10-1128","Office of the State Engineer","mailto:curtis.eckhart@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=10-1128","2010","BERN CO SOUTH VALLEY ACEQUIAS IMPROVE","SEVERANCE TAX BONDS","","6/24/14","2014A","75000","","","Bernalillo","75000","105 / 18","6/30/16","0","0","0","0","0","5/26/15 0:00","","/","99555","0","***","0","0","75000","14-2251","0","Reauthorized to LGD","","","REAUT - Funds reauthorized for another","0","5/26/15 0:00","9/12/14 0:00","0","0","","","","","","","",""
